127.0.0.1 - - [05/Nov/2014:10:22:58 -0200] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:24:27 -0200] "GET /Pizzaria/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:24:27 -0200] "GET /Pizzaria/js/jquery.skitter.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:24:27 -0200] "GET /Pizzaria/js/jquery.easing.1.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:24:27 -0200] "GET /Pizzaria/js/jquery.animate-colors-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:24:27 -0200] "GET /Pizzaria/js/jquery.lightbox-0.5.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:24:27 -0200] "GET /Pizzaria/img/galeria-01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:24:27 -0200] "GET /Pizzaria/img/galeria-8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:24:27 -0200] "GET /Pizzaria/img/galeria-05.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:24:27 -0200] "GET /Pizzaria/img/galeria-02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:24:27 -0200] "GET /Pizzaria/img/galeria-03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:24:27 -0200] "GET /Pizzaria/img/galeria-07.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:24:27 -0200] "GET /Pizzaria/img/galeria-04.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:24:27 -0200] "GET /Pizzaria/img/galeria-06.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:24:27 -0200] "GET /Pizzaria/js/ScrollScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:24:27 -0200] "GET /Pizzaria/img/up.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:24:27 -0200] "GET /Pizzaria/img/bg-article.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:24:27 -0200] "GET /Pizzaria/img/bg-footer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:24:27 -0200] "GET /Pizzaria/css/font/websymbols-regular-webfont.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:24:28 -0200] "GET /Pizzaria/img/bg-h1-bar.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:24:28 -0200] "GET /Pizzaria/image/slide/prev.png HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:24:28 -0200] "GET /Pizzaria/img/bg-nav.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:24:28 -0200] "GET /Pizzaria/image/slide/next.png HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:24:28 -0200] "GET /Pizzaria/test.jsp HTTP/1.1" 200 13519
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:24:28 -0200] "GET /Pizzaria/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:24:28 -0200] "GET /Pizzaria/css/skitter.styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:24:28 -0200] "GET /Pizzaria/css/jquery.lightbox-0.5.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:24:28 -0200] "GET /Pizzaria/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:24:28 -0200] "GET /Pizzaria/js/jquery.easing.1.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:24:28 -0200] "GET /Pizzaria/js/jquery.skitter.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:24:28 -0200] "GET /Pizzaria/js/jquery.animate-colors-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:24:28 -0200] "GET /Pizzaria/js/jquery.lightbox-0.5.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:24:28 -0200] "GET /Pizzaria/img/galeria-01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:24:28 -0200] "GET /Pizzaria/img/galeria-05.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:24:28 -0200] "GET /Pizzaria/img/galeria-8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:24:28 -0200] "GET /Pizzaria/img/galeria-02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:24:28 -0200] "GET /Pizzaria/js/ScrollScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:24:28 -0200] "GET /Pizzaria/img/galeria-03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:24:28 -0200] "GET /Pizzaria/img/galeria-07.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:24:28 -0200] "GET /Pizzaria/img/galeria-04.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:24:28 -0200] "GET /Pizzaria/img/galeria-06.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:24:28 -0200] "GET /Pizzaria/img/up.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:24:28 -0200] "GET /Pizzaria/img/bg-article.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:24:28 -0200] "GET /Pizzaria/img/bg-footer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:24:28 -0200] "GET /Pizzaria/css/font/websymbols-regular-webfont.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:24:28 -0200] "GET /Pizzaria/img/bg-nav.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:24:28 -0200] "GET /Pizzaria/img/bg-h1-bar.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:24:28 -0200] "GET /Pizzaria/image/slide/prev.png HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:24:28 -0200] "GET /Pizzaria/image/slide/next.png HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:25:13 -0200] "GET /Pizzaria/test.jsp HTTP/1.1" 200 4070
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:25:13 -0200] "GET /jqwidgets/styles/jqx.base.css HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:25:13 -0200] "GET /scripts/jquery-1.11.1.min.js HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:25:13 -0200] "GET /scripts/demos.js HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:25:13 -0200] "GET /jqwidgets/jqxbuttons.js HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:25:13 -0200] "GET /jqwidgets/jqxscrollbar.js HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:25:13 -0200] "GET /jqwidgets/jqxlistbox.js HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:25:13 -0200] "GET /jqwidgets/jqxcore.js HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:25:13 -0200] "GET /jqwidgets/jqxcheckbox.js HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:25:14 -0200] "GET /Pizzaria/test.jsp HTTP/1.1" 200 4070
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:25:14 -0200] "GET /scripts/jquery-1.11.1.min.js HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:25:14 -0200] "GET /jqwidgets/styles/jqx.base.css HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:25:14 -0200] "GET /jqwidgets/jqxcore.js HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:25:14 -0200] "GET /scripts/demos.js HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:25:14 -0200] "GET /jqwidgets/jqxbuttons.js HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:25:14 -0200] "GET /jqwidgets/jqxscrollbar.js HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:25:14 -0200] "GET /jqwidgets/jqxcheckbox.js HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:25:14 -0200] "GET /jqwidgets/jqxlistbox.js HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:25:15 -0200] "GET /Pizzaria/test.jsp HTTP/1.1" 200 4070
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:25:15 -0200] "GET /jqwidgets/styles/jqx.base.css HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:25:15 -0200] "GET /scripts/jquery-1.11.1.min.js HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:25:15 -0200] "GET /scripts/demos.js HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:25:15 -0200] "GET /jqwidgets/jqxbuttons.js HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:25:15 -0200] "GET /jqwidgets/jqxcore.js HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:25:15 -0200] "GET /jqwidgets/jqxscrollbar.js HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:25:15 -0200] "GET /jqwidgets/jqxlistbox.js HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:25:15 -0200] "GET /jqwidgets/jqxcheckbox.js HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:25:20 -0200] "GET /Pizzaria/test.jsp HTTP/1.1" 200 4070
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:25:20 -0200] "GET /jqwidgets/styles/jqx.base.css HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:25:20 -0200] "GET /scripts/jquery-1.11.1.min.js HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:25:20 -0200] "GET /jqwidgets/jqxcore.js HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:25:20 -0200] "GET /scripts/demos.js HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:25:20 -0200] "GET /jqwidgets/jqxbuttons.js HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:25:20 -0200] "GET /jqwidgets/jqxlistbox.js HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:25:20 -0200] "GET /jqwidgets/jqxscrollbar.js HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:25:20 -0200] "GET /jqwidgets/jqxcheckbox.js HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:25:28 -0200] "GET /Pizzaria/test.jsp HTTP/1.1" 200 4070
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:25:28 -0200] "GET /scripts/jquery-1.11.1.min.js HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:25:28 -0200] "GET /jqwidgets/styles/jqx.base.css HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:25:28 -0200] "GET /scripts/demos.js HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:25:28 -0200] "GET /jqwidgets/jqxcore.js HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:25:28 -0200] "GET /jqwidgets/jqxbuttons.js HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:25:28 -0200] "GET /jqwidgets/jqxlistbox.js HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:25:28 -0200] "GET /jqwidgets/jqxscrollbar.js HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:25:28 -0200] "GET /jqwidgets/jqxcheckbox.js HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:25:35 -0200] "GET /Pizzaria/test.jsp HTTP/1.1" 200 4070
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:25:35 -0200] "GET /jqwidgets/styles/jqx.base.css HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:25:35 -0200] "GET /scripts/jquery-1.11.1.min.js HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:25:35 -0200] "GET /jqwidgets/jqxcore.js HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:25:35 -0200] "GET /scripts/demos.js HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:25:35 -0200] "GET /jqwidgets/jqxbuttons.js HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:25:35 -0200] "GET /jqwidgets/jqxlistbox.js HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:25:35 -0200] "GET /jqwidgets/jqxcheckbox.js HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:25:35 -0200] "GET /jqwidgets/jqxscrollbar.js HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:47:31 -0200] "GET /Pizzaria/index.jsp HTTP/1.1" 200 12289
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:47:31 -0200] "GET /Pizzaria/image/slide/prev.png HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:47:31 -0200] "GET /Pizzaria/image/slide/next.png HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:47:31 -0200] "GET /Pizzaria/image/slide/ajax-loader.gif HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:48:00 -0200] "GET /Pizzaria/index.jsp HTTP/1.1" 200 12299
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:48:00 -0200] "GET /Pizzaria/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:48:00 -0200] "GET /Pizzaria/css/skitter.styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:48:00 -0200] "GET /Pizzaria/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:48:00 -0200] "GET /Pizzaria/js/jquery.skitter.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:48:00 -0200] "GET /Pizzaria/css/jquery.lightbox-0.5.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:48:00 -0200] "GET /Pizzaria/js/jquery.easing.1.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:48:00 -0200] "GET /Pizzaria/js/jquery.lightbox-0.5.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:48:00 -0200] "GET /Pizzaria/js/jquery.animate-colors-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:48:00 -0200] "GET /Pizzaria/js/ScrollScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:48:00 -0200] "GET /Pizzaria/img/galeria-01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:48:00 -0200] "GET /Pizzaria/img/galeria-05.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:48:00 -0200] "GET /Pizzaria/img/galeria-02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:48:00 -0200] "GET /Pizzaria/img/galeria-03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:48:00 -0200] "GET /Pizzaria/img/galeria-07.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:48:01 -0200] "GET /Pizzaria/img/galeria-04.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:48:01 -0200] "GET /Pizzaria/img/galeria-06.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:48:01 -0200] "GET /Pizzaria/img/galeria-8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:48:01 -0200] "GET /Pizzaria/img/up.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:48:01 -0200] "GET /Pizzaria/img/bg-article.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:48:01 -0200] "GET /Pizzaria/img/bg-h1-bar.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:48:01 -0200] "GET /Pizzaria/img/bg-nav.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:48:01 -0200] "GET /Pizzaria/img/bg-footer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:48:01 -0200] "GET /Pizzaria/css/font/websymbols-regular-webfont.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:48:01 -0200] "GET /Pizzaria/image/slide/next.png HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:48:01 -0200] "GET /Pizzaria/image/slide/prev.png HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:49:36 -0200] "GET /Pizzaria/index.jsp HTTP/1.1" 200 12441
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:49:36 -0200] "GET /Pizzaria/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:49:36 -0200] "GET /Pizzaria/css/skitter.styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:49:36 -0200] "GET /Pizzaria/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:49:36 -0200] "GET /Pizzaria/css/jquery.lightbox-0.5.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:49:36 -0200] "GET /Pizzaria/js/jquery.easing.1.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:49:36 -0200] "GET /Pizzaria/js/jquery.skitter.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:49:36 -0200] "GET /Pizzaria/js/jquery.lightbox-0.5.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:49:36 -0200] "GET /Pizzaria/js/jquery.animate-colors-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:49:36 -0200] "GET /Pizzaria/img/galeria-01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:49:36 -0200] "GET /Pizzaria/img/galeria-05.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:49:36 -0200] "GET /Pizzaria/img/galeria-02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:49:36 -0200] "GET /Pizzaria/img/galeria-8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:49:36 -0200] "GET /Pizzaria/js/ScrollScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:49:36 -0200] "GET /Pizzaria/img/galeria-03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:49:36 -0200] "GET /Pizzaria/img/galeria-07.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:49:36 -0200] "GET /Pizzaria/img/galeria-06.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:49:36 -0200] "GET /Pizzaria/img/galeria-04.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:49:36 -0200] "GET /Pizzaria/img/up.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:49:36 -0200] "GET /Pizzaria/img/bg-nav.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2014:10:49:36 -0200] "GET /Pizzaria/img/bg-h1-bar.jpg HTTP/1.1" 304 -
